"","Category","Time","Stratum","Units","Estimate","Std..Error.for.Estimate","Std..Error.for.ln.Estimate.","STRATA","west_border","east_border","north_border","south_border"
"54",1,2009,"Stratum_3"," [count*km2/km2]",12911.1920925627,2976.96850231646,0.322462365418552,"NBS",-172.5,Inf,64.1,59.9
"55",1,2010,"Stratum_3"," [count*km2/km2]",11656.1314516767,2557.96354528402,0.308632696713375,"NBS",-172.5,Inf,64.1,59.9
"56",1,2011,"Stratum_3"," [count*km2/km2]",13105.2922713634,2830.69377693781,0.287105897279904,"NBS",-172.5,Inf,64.1,59.9
"57",1,2012,"Stratum_3"," [count*km2/km2]",8741.17604012889,1871.99169134381,0.284648076054946,"NBS",-172.5,Inf,64.1,59.9
"58",1,2013,"Stratum_3"," [count*km2/km2]",8613.56571734404,2226.53888566877,0.384443046699864,"NBS",-172.5,Inf,64.1,59.9
"59",1,2014,"Stratum_3"," [count*km2/km2]",28544.9486638747,4689.72722010785,0.24449238166665,"NBS",-172.5,Inf,64.1,59.9
"60",1,2015,"Stratum_3"," [count*km2/km2]",17112.7754402532,3058.33213435355,0.264752748670354,"NBS",-172.5,Inf,64.1,59.9
"61",1,2016,"Stratum_3"," [count*km2/km2]",17497.6514293399,2811.03750972592,0.230533173067482,"NBS",-172.5,Inf,64.1,59.9
"62",1,2017,"Stratum_3"," [count*km2/km2]",6161.22052216833,1133.49739704005,0.272370370981021,"NBS",-172.5,Inf,64.1,59.9
"63",1,2018,"Stratum_3"," [count*km2/km2]",27549.1909390802,5175.17006778913,0.282006632450541,"NBS",-172.5,Inf,64.1,59.9
"64",1,2019,"Stratum_3"," [count*km2/km2]",32308.5321024827,4233.36367546327,0.193085616513805,"NBS",-172.5,Inf,64.1,59.9
"65",1,2020,"Stratum_3"," [count*km2/km2]",0,0,0,"NBS",-172.5,Inf,64.1,59.9
"66",1,2021,"Stratum_3"," [count*km2/km2]",8088.55699655073,2272.25734996946,0.372621228763386,"NBS",-172.5,Inf,64.1,59.9
"67",1,2022,"Stratum_3"," [count*km2/km2]",4266.76831239761,1041.29323377532,0.355650677349928,"NBS",-172.5,Inf,64.1,59.9
"68",1,2023,"Stratum_3"," [count*km2/km2]",8062.28098155988,1617.68086570812,0.279307790029797,"NBS",-172.5,Inf,64.1,59.9
"69",1,2024,"Stratum_3"," [count*km2/km2]",21318.9516520123,6846.71680643108,0.444491464811041,"NBS",-172.5,Inf,64.1,59.9
"70",1,2002,"Stratum_4"," [count*km2/km2]",7381.34395484438,1614.54580944865,0.309250769842112,"NBS_NW",-172.5,-166.75,59.9,57.9
"71",1,2003,"Stratum_4"," [count*km2/km2]",4347.75721164962,831.806076160461,0.276495656227801,"NBS_NW",-172.5,-166.75,59.9,57.9
"72",1,2004,"Stratum_4"," [count*km2/km2]",4987.40739354793,836.44353714233,0.237728562322518,"NBS_NW",-172.5,-166.75,59.9,57.9
"73",1,2005,"Stratum_4"," [count*km2/km2]",5190.47377167258,1066.56360808629,0.277126086586076,"NBS_NW",-172.5,-166.75,59.9,57.9
"74",1,2006,"Stratum_4"," [count*km2/km2]",407.872985478417,160.630315888176,0.536850724930132,"NBS_NW",-172.5,-166.75,59.9,57.9
"75",1,2007,"Stratum_4"," [count*km2/km2]",2410.27769339494,453.231870539105,0.261429382585804,"NBS_NW",-172.5,-166.75,59.9,57.9
"76",1,2008,"Stratum_4"," [count*km2/km2]",363.126058209929,157.159981600371,0.811140426416434,"NBS_NW",-172.5,-166.75,59.9,57.9
"77",1,2009,"Stratum_4"," [count*km2/km2]",6421.33297740998,1831.89647092713,0.430843795505108,"NBS_NW",-172.5,-166.75,59.9,57.9
"78",1,2010,"Stratum_4"," [count*km2/km2]",6244.0440409159,1469.89823634948,0.32604928281375,"NBS_NW",-172.5,-166.75,59.9,57.9
"79",1,2011,"Stratum_4"," [count*km2/km2]",622.10482117668,295.345223637762,0.81404651846072,"NBS_NW",-172.5,-166.75,59.9,57.9
"80",1,2012,"Stratum_4"," [count*km2/km2]",391.946995045241,166.006089969378,0.682525392534159,"NBS_NW",-172.5,-166.75,59.9,57.9
"81",1,2013,"Stratum_4"," [count*km2/km2]",2293.82156528552,1232.94552246725,1.14357308776275,"NBS_NW",-172.5,-166.75,59.9,57.9
"82",1,2014,"Stratum_4"," [count*km2/km2]",2908.4170794509,1225.40831316093,0.641440877985016,"NBS_NW",-172.5,-166.75,59.9,57.9
"83",1,2015,"Stratum_4"," [count*km2/km2]",2617.15519652618,1198.95530611623,0.920778006807442,"NBS_NW",-172.5,-166.75,59.9,57.9
"84",1,2016,"Stratum_4"," [count*km2/km2]",3731.26524666376,1214.61318505891,0.459105914409109,"NBS_NW",-172.5,-166.75,59.9,57.9
"85",1,2017,"Stratum_4"," [count*km2/km2]",1500.63844041408,752.891671980603,0.918894428243088,"NBS_NW",-172.5,-166.75,59.9,57.9
"86",1,2018,"Stratum_4"," [count*km2/km2]",3159.39363817624,944.412016111712,0.531662584342053,"NBS_NW",-172.5,-166.75,59.9,57.9
"87",1,2019,"Stratum_4"," [count*km2/km2]",5132.08663966028,2039.39264786444,0.773561194190442,"NBS_NW",-172.5,-166.75,59.9,57.9
"88",1,2020,"Stratum_4"," [count*km2/km2]",0,0,0,"NBS_NW",-172.5,-166.75,59.9,57.9
"89",1,2021,"Stratum_4"," [count*km2/km2]",931.28854811821,513.243142273202,1.07167762037025,"NBS_NW",-172.5,-166.75,59.9,57.9
"90",1,2022,"Stratum_4"," [count*km2/km2]",561.350904701458,267.815843223435,0.85744121818217,"NBS_NW",-172.5,-166.75,59.9,57.9
"91",1,2023,"Stratum_4"," [count*km2/km2]",861.695925685811,479.336883901404,1.0625184166394,"NBS_NW",-172.5,-166.75,59.9,57.9
"92",1,2024,"Stratum_4"," [count*km2/km2]",2612.17952736834,1466.25590935195,0.958494583016111,"NBS_NW",-172.5,-166.75,59.9,57.9
"93",1,2002,"Stratum_5"," [count*km2/km2]",5099.46921843305,958.801561409937,0.268148084768471,"SBS_NE",-166.75,Inf,59.9,57.9
"94",1,2003,"Stratum_5"," [count*km2/km2]",3748.99221351165,922.389967511148,0.387356359891925,"SBS_NE",-166.75,Inf,59.9,57.9
"95",1,2004,"Stratum_5"," [count*km2/km2]",4698.55379848257,950.857504395891,0.313009267807002,"SBS_NE",-166.75,Inf,59.9,57.9
"96",1,2005,"Stratum_5"," [count*km2/km2]",3120.29661203114,638.460059179747,0.291690379643017,"SBS_NE",-166.75,Inf,59.9,57.9
"97",1,2006,"Stratum_5"," [count*km2/km2]",267.036750586177,113.332695455517,0.728637655431468,"SBS_NE",-166.75,Inf,59.9,57.9
"98",1,2007,"Stratum_5"," [count*km2/km2]",4878.33949843769,1930.51965814762,0.56114074115454,"SBS_NE",-166.75,Inf,59.9,57.9
"99",1,2008,"Stratum_5"," [count*km2/km2]",1873.22124439401,691.93914967236,0.60974056258625,"SBS_NE",-166.75,Inf,59.9,57.9
"100",1,2009,"Stratum_5"," [count*km2/km2]",7936.44756323067,2718.45353111514,0.577688321087844,"SBS_NE",-166.75,Inf,59.9,57.9
"101",1,2010,"Stratum_5"," [count*km2/km2]",621.602343076725,281.755103887402,0.789673168323067,"SBS_NE",-166.75,Inf,59.9,57.9
"102",1,2011,"Stratum_5"," [count*km2/km2]",1037.4915020354,530.963368658548,0.967605977662019,"SBS_NE",-166.75,Inf,59.9,57.9
"103",1,2012,"Stratum_5"," [count*km2/km2]",357.533000932616,192.17802400788,1.01079223697355,"SBS_NE",-166.75,Inf,59.9,57.9
"104",1,2013,"Stratum_5"," [count*km2/km2]",1249.48508114226,692.379186705284,1.26082973158338,"SBS_NE",-166.75,Inf,59.9,57.9
"105",1,2014,"Stratum_5"," [count*km2/km2]",3487.18823873969,1637.53429525545,0.91013631058342,"SBS_NE",-166.75,Inf,59.9,57.9
"106",1,2015,"Stratum_5"," [count*km2/km2]",5758.9077075165,3099.8928789259,1.23999307572925,"SBS_NE",-166.75,Inf,59.9,57.9
"107",1,2016,"Stratum_5"," [count*km2/km2]",3827.18939769707,1361.93376425132,0.618590066231035,"SBS_NE",-166.75,Inf,59.9,57.9
"108",1,2017,"Stratum_5"," [count*km2/km2]",1453.47738470342,818.192817607623,1.28429437918857,"SBS_NE",-166.75,Inf,59.9,57.9
"109",1,2018,"Stratum_5"," [count*km2/km2]",23544.4171268024,10045.139700642,0.966960716127367,"SBS_NE",-166.75,Inf,59.9,57.9
"110",1,2019,"Stratum_5"," [count*km2/km2]",3599.81644157061,1879.23688741431,1.25527293783387,"SBS_NE",-166.75,Inf,59.9,57.9
"111",1,2020,"Stratum_5"," [count*km2/km2]",0,0,0,"SBS_NE",-166.75,Inf,59.9,57.9
"112",1,2021,"Stratum_5"," [count*km2/km2]",2004.35166689523,1134.2302020148,1.27296707487744,"SBS_NE",-166.75,Inf,59.9,57.9
"113",1,2022,"Stratum_5"," [count*km2/km2]",2909.73156429545,1386.2713247638,0.95010419072262,"SBS_NE",-166.75,Inf,59.9,57.9
"114",1,2023,"Stratum_5"," [count*km2/km2]",2392.49920638742,1341.98812821721,1.23812370090177,"SBS_NE",-166.75,Inf,59.9,57.9
"115",1,2024,"Stratum_5"," [count*km2/km2]",7926.20762869573,4299.20320152998,1.1148465363259,"SBS_NE",-166.75,Inf,59.9,57.9
"116",1,2002,"Stratum_6"," [count*km2/km2]",252.94334721359,103.101090941325,0.73975748599142,"SBS_SW",-172.5,-166.75,57.9,54.9
"117",1,2003,"Stratum_6"," [count*km2/km2]",916.538793897138,370.54711661981,0.777143253360284,"SBS_SW",-172.5,-166.75,57.9,54.9
"118",1,2004,"Stratum_6"," [count*km2/km2]",322.987574241937,110.705542865476,0.604646452113138,"SBS_SW",-172.5,-166.75,57.9,54.9
"119",1,2005,"Stratum_6"," [count*km2/km2]",235.249856758545,81.6251879807785,0.609110946660726,"SBS_SW",-172.5,-166.75,57.9,54.9
"120",1,2006,"Stratum_6"," [count*km2/km2]",41.9889373399811,20.5133574021777,0.893384718588634,"SBS_SW",-172.5,-166.75,57.9,54.9
"121",1,2007,"Stratum_6"," [count*km2/km2]",487.626463590836,151.280008104821,0.496046912537847,"SBS_SW",-172.5,-166.75,57.9,54.9
"122",1,2008,"Stratum_6"," [count*km2/km2]",191.221237382769,93.2241883939183,0.958907883358838,"SBS_SW",-172.5,-166.75,57.9,54.9
"123",1,2009,"Stratum_6"," [count*km2/km2]",1950.08368955073,556.697217287935,0.456693699703205,"SBS_SW",-172.5,-166.75,57.9,54.9
"124",1,2010,"Stratum_6"," [count*km2/km2]",299.782558763204,109.413600928444,0.625633378461828,"SBS_SW",-172.5,-166.75,57.9,54.9
"125",1,2011,"Stratum_6"," [count*km2/km2]",312.762269749416,145.212563038687,0.845201460480594,"SBS_SW",-172.5,-166.75,57.9,54.9
"126",1,2012,"Stratum_6"," [count*km2/km2]",171.687531728965,74.9359652420085,0.768412920048204,"SBS_SW",-172.5,-166.75,57.9,54.9
"127",1,2013,"Stratum_6"," [count*km2/km2]",345.738228790191,201.675644717929,1.33868009459897,"SBS_SW",-172.5,-166.75,57.9,54.9
"128",1,2014,"Stratum_6"," [count*km2/km2]",233.331383182723,106.786589886072,0.828955321937019,"SBS_SW",-172.5,-166.75,57.9,54.9
"129",1,2015,"Stratum_6"," [count*km2/km2]",1125.41719754198,641.245008831047,1.30129754508976,"SBS_SW",-172.5,-166.75,57.9,54.9
"130",1,2016,"Stratum_6"," [count*km2/km2]",464.742368619424,196.543765012581,0.814357623126383,"SBS_SW",-172.5,-166.75,57.9,54.9
"131",1,2017,"Stratum_6"," [count*km2/km2]",447.393226871404,262.077381883397,1.32757618678745,"SBS_SW",-172.5,-166.75,57.9,54.9
"132",1,2018,"Stratum_6"," [count*km2/km2]",3478.1033746059,1420.17094167196,0.7986988195996,"SBS_SW",-172.5,-166.75,57.9,54.9
"133",1,2019,"Stratum_6"," [count*km2/km2]",1087.04080125623,593.024105210968,1.27351994463827,"SBS_SW",-172.5,-166.75,57.9,54.9
